"","Date","Team","Goals","Assists","Points","Plusminus","PIM","PPG","PPP","SHG","SHP","GWG","OTG","Shots","TOI","Shifts","Year","season","Home","toi2","toi3","toi_seconds","opponent","opp_2","season2","opp_int","opp_int2"
"87","07-Jan","@ NJD",0,1,1,-1,0,0,1,0,0,0,0,8,"23:31",23,2017,"1617",0,"00:23:31",00:23:31,1411,"NJD","OTHER","2","18","5"
"88","05-Jan","@ BOS",0,2,2,2,0,0,0,0,0,0,0,1,"20:54",26,2017,"1617",0,"00:20:54",00:20:54,1254,"BOS","OTHER","2","23","5"
"89","03-Jan","@ CBJ",0,0,0,0,2,0,0,0,0,0,0,3,"22:05",24,2017,"1617",0,"00:22:05",00:22:05,1325,"CBJ","OTHER","2","12","5"
"90","31-Dec","vs VAN",1,0,1,0,0,1,1,0,0,0,0,4,"26:43:00",26,2016,"1617",1,"00:26:43",00:26:43,1603,"VAN","VAN","2","1","1"
"91","29-Dec","vs LAK",0,0,0,1,0,0,0,0,0,0,0,5,"18:48",22,2016,"1617",1,"00:18:48",00:18:48,1128,"LAK","OTHER","2","4","5"
"92","23-Dec","@ SJS",1,1,2,1,0,0,0,0,0,0,0,3,"23:47",26,2016,"1617",0,"00:23:47",00:23:47,1427,"SJS","OTHER","2","5","5"
"93","21-Dec","@ ARI",0,0,0,0,0,0,0,0,0,0,0,3,"19:18",21,2016,"1617",0,"00:19:18",00:19:18,1158,"ARI","OTHER","2","6","5"
"94","19-Dec","@ STL",0,1,1,1,2,0,0,0,0,0,0,2,"20:07",24,2016,"1617",0,"00:20:07",00:20:07,1207,"STL","OTHER","2","8","5"
"95","17-Dec","vs TBL",0,0,0,0,0,0,0,0,0,0,0,1,"24:55:00",29,2016,"1617",1,"00:24:55",00:24:55,1495,"TBL","OTHER","2","26","5"
"96","13-Dec","vs CBJ",0,0,0,0,0,0,0,0,0,0,0,1,"19:42",24,2016,"1617",1,"00:19:42",00:19:42,1182,"CBJ","OTHER","2","12","5"
"97","11-Dec","vs WPG",0,1,1,-1,0,0,1,0,0,0,0,2,"20:28",25,2016,"1617",1,"00:20:28",00:20:28,1228,"WPG","WPG","2","11","3"
"98","09-Dec","@ MIN",0,0,0,-1,2,0,0,0,0,0,0,6,"21:55",26,2016,"1617",0,"00:21:55",00:21:55,1315,"MIN","OTHER","2","10","5"
"99","08-Dec","@ PHI",1,1,2,0,0,1,1,0,1,0,0,3,"20:19",24,2016,"1617",0,"00:20:19",00:20:19,1219,"PHI","OTHER","2","13","5"
"100","06-Dec","@ BUF",0,2,2,0,2,0,1,0,0,0,0,5,"19:54",25,2016,"1617",0,"00:19:54",00:19:54,1194,"BUF","OTHER","2","14","5"
"101","04-Dec","vs MIN",0,0,0,-1,0,0,0,0,0,0,0,4,"20:38",22,2016,"1617",1,"00:20:38",00:20:38,1238,"MIN","OTHER","2","10","5"
"102","03-Dec","vs ANA",0,0,0,0,0,0,0,0,0,0,0,4,"21:40",23,2016,"1617",1,"00:21:40",00:21:40,1300,"ANA","OTHER","2","3","5"
"103","01-Dec","@ WPG",0,3,3,0,0,0,2,0,0,0,0,3,"19:30",21,2016,"1617",0,"00:19:30",00:19:30,1170,"WPG","WPG","2","11","3"
"104","29-Nov","vs TOR",1,1,2,2,2,0,0,0,0,0,0,1,"19:26",25,2016,"1617",1,"00:19:26",00:19:26,1166,"TOR","OTHER","2","17","5"
"105","27-Nov","vs ARI",0,1,1,1,0,0,0,0,0,0,0,2,"22:23",24,2016,"1617",1,"00:22:23",00:22:23,1343,"ARI","OTHER","2","6","5"
"106","25-Nov","@ ARI",1,0,1,0,0,0,0,0,0,0,0,4,"22:43",26,2016,"1617",0,"00:22:43",00:22:43,1363,"ARI","OTHER","2","6","5"
"107","23-Nov","@ COL",1,2,3,1,0,0,1,0,0,1,0,3,"19:31",27,2016,"1617",0,"00:19:31",00:19:31,1171,"COL","OTHER","2","7","5"
"108","21-Nov","vs CHI",0,2,2,1,0,0,1,0,0,0,0,2,"18:42",22,2016,"1617",1,"00:18:42",00:18:42,1122,"CHI","OTHER","2","27","5"
"109","19-Nov","@ DAL",3,0,3,3,2,0,0,0,0,0,0,4,"18:39",28,2016,"1617",0,"00:18:39",00:18:39,1119,"DAL","OTHER","2","22","5"
"110","17-Nov","@ LAK",0,0,0,-3,0,0,0,0,0,0,0,3,"21:34",26,2016,"1617",0,"00:21:34",00:21:34,1294,"LAK","OTHER","2","4","5"
"111","15-Nov","@ ANA",0,0,0,-1,0,0,0,0,0,0,0,4,"22:29",21,2016,"1617",0,"00:22:29",00:22:29,1349,"ANA","OTHER","2","3","5"
"112","13-Nov","vs NYR",0,1,1,1,0,0,0,0,0,0,0,1,"22:49",25,2016,"1617",1,"00:22:49",00:22:49,1369,"NYR","OTHER","2","29","5"
"113","11-Nov","vs DAL",0,1,1,-1,0,0,0,0,0,0,0,4,"22:26",24,2016,"1617",1,"00:22:26",00:22:26,1346,"DAL","OTHER","2","22","5"
"114","08-Nov","@ PIT",0,3,3,3,0,0,0,0,0,0,0,2,"18:53",23,2016,"1617",0,"00:18:53",00:18:53,1133,"PIT","OTHER","2","24","5"
"115","06-Nov","@ DET",0,1,1,0,0,0,1,0,0,0,0,0,"18:36",22,2016,"1617",0,"00:18:36",00:18:36,1116,"DET","OTHER","2","21","5"
"116","05-Nov","@ NYI",0,0,0,-1,0,0,0,0,0,0,0,6,"23:26",26,2016,"1617",0,"00:23:26",00:23:26,1406,"NYI","OTHER","2","15","5"
"117","03-Nov","@ NYR",0,1,1,-3,0,0,1,0,0,0,0,3,"19:37",23,2016,"1617",0,"00:19:37",00:19:37,1177,"NYR","OTHER","2","29","5"
"118","01-Nov","@ TOR",0,0,0,-2,0,0,0,0,0,0,0,4,"22:46",32,2016,"1617",0,"00:22:46",00:22:46,1366,"TOR","OTHER","2","17","5"
"119","30-Oct","vs OTT",0,0,0,-1,0,0,0,0,0,0,0,2,"22:20",23,2016,"1617",1,"00:22:20",00:22:20,1340,"OTT","OTHER","2","16","5"
"120","28-Oct","@ VAN",1,0,1,2,0,0,0,0,0,1,0,3,"21:41",27,2016,"1617",0,"00:21:41",00:21:41,1301,"VAN","VAN","2","1","1"
"121","26-Oct","vs WSH",0,2,2,1,0,0,1,0,0,0,0,1,"21:20",27,2016,"1617",1,"00:21:20",00:21:20,1280,"WSH","OTHER","2","20","5"
"122","23-Oct","@ WPG",0,1,1,1,2,0,0,0,0,0,0,1,"19:53",23,2016,"1617",0,"00:19:53",00:19:53,1193,"WPG","WPG","2","11","3"
"123","20-Oct","vs STL",1,1,2,2,0,0,0,0,0,0,0,4,"22:22",25,2016,"1617",1,"00:22:22",00:22:22,1342,"STL","OTHER","2","8","5"
